Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""http://www.imt.org/resources/detail/commercial-energy-policy-toolkit-benchmarking-disclosure"">Commercial Energy Policy Toolkit: Benchmarking and Disclosure</a></strong></br>The benchmarking and disclosure document provided in this toolkit discusses adopting benchmarking and disclosure policies in order to allow the real estate market to value the energy performance of buildings.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""/node/773091"">Commercial Reference Buildings</a></strong></br>The U.S. Department of Energy, in conjunction with three of its national laboratories, developed commercial reference buildings, formerly known as commercial building benchmark models. These reference buildings play a critical role in the program's energy modeling software research by providing complete descriptions for whole building energy analysis using EnergyPlus simulation software.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management,Webpages
"<strong><a href=""http://en.openei.org/wiki/OpenEI:Utility_data_access_map"">Data Access Map</a></strong></br>This map allows users to determine the availability of utility data for locations in the United States.</br>TOOLS",Access and Use Energy Data,Data Access and Management,Tools
"<strong><a href=""/node/909601"">Data Management and Evaluation Webinars</a></strong></br>Presentations and videos from past webinars sponsored by the U.S. Department of Energy related to data management and evaluation. </br>WEBINARS",Access and Use Energy Data,"Benchmarking; Data Access and Management; Energy Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""https://ecenter.ee.doe.gov/EM/SSPM/Pages/home.aspx"">DOE eGuide Lite</a></strong></br>The DOE eGuide Lite teaches organizations the basics of better energy management. This includes understanding what kinds of energy they use, how they use it, and how much of it they use.</br>TOOLS",Design and Implement Energy Programs,Energy Management,Tools
"<strong><a href=""https://ecenter.ee.doe.gov/_layouts/ecenter/ppc.eguide/home.aspx"">eGuide</a></strong></br>This site provides information about energy management using the ISO50001 standard.</br>TOOLS",Design and Implement Energy Programs,Energy Management,Tools
"<strong><a href=""https://www4.eere.energy.gov/seeaction/system/files/documents/emv_behaviorbased_eeprograms.pdf"">EM&V of Residential Behavior-Based Energy Efficiency Programs: Issues and Recommendations</a></strong></br>This guide offers technically valid methods for state and local policymakers to estimate the energy savings from residential behavior-based energy efficiency programs.</br>REPORTS & GUIDES",Access and Use Energy Data,Behavior Modification; Benchmarking; Data Access and Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""/node/773041"">Energy Asset Score Tool</a></strong></br>The U.S. Department of Energy’s Building Energy Asset Score (Asset Score) is a national standardized tool for assessing the physical and structural energy efficiency of commercial and multifamily residential buildings. The Asset Score generates a simple energy efficiency rating that enables comparison among buildings and identifies opportunities to invest in energy efficiency upgrades. It is available for voluntary use and is 100% free to use.</br>TOOLS",Access and Use Energy Data,Benchmarking; Data Access and Management,Tools
"<strong><a href=""/node/913141"">Energy Audit and Retro-Commissioning Policies for Public and Commercial Buildings</a></strong></br>This webinar covers energy audit and retro-commissioning policies for public and commercial buildings.</br>WEBINARS",Access and Use Energy Data; Design and Implement Energy Programs,Commissioning/Retro-commissioning; Energy Audits/Retrofits,Webinars
"<strong><a href=""https://www4.eere.energy.gov/seeaction/system/files/documents/commercialbuildings_factsheet_benchmarking_stategovt.pdf"">Energy Benchmarking, Rating, and Disclosure for State Governments</a></strong></br>This fact sheet provides information on how access to energy use data that can help state governments lead by example by benchmarking and disclosing their results, as well as adopting and implementing benchmarking policies for the private sector.</br>RESOURCE SUMMARIES",Access and Use Energy Data,Benchmarking; Data Access and Management,Resource Summaries
"<strong><a href=""/node/913126"">Energy Disclosure and Leasing Standards: Best Practices</a></strong></br>This presentation, held Dec. 21, 2012, provides information on commercial energy benchmarking and disclosure policy: state, local and federal overview, leveraging EPA's Portfolio Manager in benchmarking and disclosure policy, and green leasing. With an example from New York City's 2011 benchmarking plan.</br>WEBINARS",Access and Use Energy Data,Benchmarking; Data Access and Management,Webinars
"<strong><a href=""http://www.emvwebinar.org/"">Energy Efficiency EM&V Webinar Series</a></strong></br>These webinars provide ongoing support and peer exchange for policymakers, program administrators, utilities, and others on a variety of evalution, measurement, and verification (EM&V) topics.</br>WEBPAGES",Develop an Energy Plan; Access and Use Energy Data,"Data Access and Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""http://www.energyiq.lbl.gov/"">Energy IQ</a></strong></br>EnergyIQ is an action-oriented benchmarking tool for non-residential buildings. Energy managers, building owners, architects, and engineers use it to identify energy efficiency opportunities, save money, and reduce carbon emissions.</br>TOOLS",Access and Use Energy Data,Benchmarking; Data Access and Management,Tools
"<strong><a href=""/node/912481"">Energy Performance Benchmarking and Disclosure Policies for Public and Commercial Buildings</a></strong></br>This webinar, held on July 26, 2012, explores Performance benchmarking and disclosure policies for public and commercial buildings through examples from Washington, D.C. and San Francisco, as well as through tools such as the SEED Data Platform, Green Button, Portfolio Manager, and BPD.</br>WEBINARS",Access and Use Energy Data; Design and Implement Energy Programs,Benchmarking; Data Access and Management; Energy Management,Webinars
"<strong><a href=""http://www.energystar.gov/buildings/tools-and-resources/energy-efficiency-competition-guide"">ENERGY STAR Energy Efficiency Competition Guide</a></strong></br>This step-by-step guide outlines the steps for planning an energy efficiency competition or challenge, which can be used to engage the community and provide motivation to participate in a benchmarking and disclosure program.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Behavior Modification; Data Access and Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://www.energystar.gov/buildings/about-us/how-can-we-help-you/build-energy-program/guidelines"">ENERGY STAR Guidelines for Energy Management</a></strong></br>EPA consolidated best practices from thousands of organizations into one step-by-step road map for continuous improvement. Read more about the process by downloading the full ENERGY STAR Guidelines for Energy Management.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Data Access and Management; Energy Management,Reports & Guides
"<strong><a href=""https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager"">ENERGY STAR Portfolio Manager</a></strong></br>This online tool lets you measure and track energy and water consumption, as well as greenhouse gas emissions. Use it to benchmark the performance of one building or a whole portfolio of buildings, all in a secure online environment.</br>TOOLS",Access and Use Energy Data,Benchmarking; Data Access and Management,Tools
