Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""/node/919481"">Post Secondary Project Performance Benchmarks</a></strong></br>Reports five major performance metrics that can be used to benchmark proposed energy service company projects within post secondary education facilities, disaggregated, and reported by major retrofit strategy.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/919491"">Public Housing Project Performance Benchmarks</a></strong></br>Reports five major performance metrics that can be used to benchmark proposed energy service company projects within public housing, disaggregated, and reported by major retrofit strategy.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/909131"">Energy Savings Performance Contracting</a></strong></br>Energy Savings Performance Contracting (ESPC) is a budget-neutral approach to make building improvements that reduce energy and water use and increase operational efficiency. By partnering with an energy service company (ESCO), a facility owner can use an ESPC to pay for today's facility upgrades with tomorrow's energy savings without tapping into capital budgets. State and local governments can implement ESPC projects in their own facilities, as well as promote and support ESPC projects through ESPC programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Webpages
"<strong><a href=""/node/947311"">About Energy Savings Performance Contracting Model Documents</a></strong></br>This page provides more information about the creation of the Energy Savings Performance Contracting (ESPC) Model Documents to be used when developing or updating procurement and contracting documents for ESPC projects and programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Webpages
"<strong><a href=""/node/925166"">Model Energy Savings Performance Contract, Schedules, and Exhibits</a></strong></br>An Energy Savings Performance Contract (ESPC) defines a project and establishes how it will be implemented during construction and how it will be managed through the entire term of the agreement, addressing construction details, roles and responsibilities of the Energy Service Company and the institution, and guaranteed savings through measurement and verification. This ESPC is for design, construction, guarantee, and follow-up measurement and verification of energy-saving projects.</br>WEBPAGES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Webpages
"<strong><a href=""/node/919831"">Douglas County School District (Nevada) Bonds Case Study</a></strong></br>Douglas County School District faced a challenging combination of aging equipment and buildings (most over 37 years old), rising energy costs, and limited access to taxpayer funds due to the fiscally-conservative makeup of the region's voters. Case study is excerpted from Financing Energy Upgrades for K-12 School Districts: A Guide to Tapping into Funding for Energy Efficiency and Renewable Energy Improvements.</br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""https://emp.lbl.gov/publications/using-qecbs-public-building-upgrades"">Using QECBs for Public Building Upgrades: Reducing Energy Bills in the City of Philadelphia</a></strong></br>Summarizes how the City of Philadelphia leveraged $6.25 million in Qualified Energy Conservation Bonds to upgrade the energy efficiency of city buildings.</br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""https://emp.lbl.gov/publications/using-qecbs-street-lighting-upgrades"">Using QECBs for Street Lighting Upgrades: Lighting the Way to Lower Energy Bills in San Diego</a></strong></br>Summarizes how the City of San Diego leveraged $13.1 million in Qualified Energy Conservation Bonds to increase the size of a street lighting upgrade project.</br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""https://emp.lbl.gov/publications/aggregating-qecb-allocations-and"">Aggregating QECB Allocations and Using QECBs to Support the Private Sector: A Case Study on Massachusetts</a></strong></br>Provides a overview of qualified energy conservation bond allocations and how they can be used in the private sector.</br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""/node/919616"">Washington Lease Purchase Case Study</a></strong></br>Washington's Centralia School District pulled together several sources of funding to make $1.3 million in facilities improvements that reduced the school district's energy and water usage. Case study is excerpted from Financing Energy Upgrades for K-12 School Districts: A Guide to Tapping into Funding for Energy Efficiency and Renewable Energy Improvements.</br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
